Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Protein names,Gene names,Fasta headers,Number of proteins,Peptides,Razor + unique peptides,Unique peptides,Peptides HD1,Peptides HD2,Peptides HD3,Peptides HD4,Peptides HE1,Peptides HE2,Peptides HE3,Peptides HE4,Razor + unique peptides HD1,Razor + unique peptides HD2,Razor + unique peptides HD3,Razor + unique peptides HD4,Razor + unique peptides HE1,Razor + unique peptides HE2,Razor + unique peptides HE3,Razor + unique peptides HE4,Unique peptides HD1,Unique peptides HD2,Unique peptides HD3,Unique peptides HD4,Unique peptides HE1,Unique peptides HE2,Unique peptides HE3,Unique peptides HE4,Sequence coverage [%],Unique + razor sequence coverage [%],Unique sequence coverage [%],Mol. weight [kDa],Sequence length,Sequence lengths,Fraction average,Fraction 1,Q-value,Score,Identification type HD1,Identification type HD2,Identification type HD3,Identification type HD4,Identification type HE1,Identification type HE2,Identification type HE3,Identification type HE4,Sequence coverage HD1 [%],Sequence coverage HD2 [%],Sequence coverage HD3 [%],Sequence coverage HD4 [%],Sequence coverage HE1 [%],Sequence coverage HE2 [%],Sequence coverage HE3 [%],Sequence coverage HE4 [%],Intensity,Intensity HD1,Intensity HD2,Intensity HD3,Intensity HD4,Intensity HE1,Intensity HE2,Intensity HE3,Intensity HE4,LFQ intensity HD1,LFQ intensity HD2,LFQ intensity HD3,LFQ intensity HD4,LFQ intensity HE1,LFQ intensity HE2,LFQ intensity HE3,LFQ intensity HE4,MS/MS count HD1,MS/MS count HD2,MS/MS count HD3,MS/MS count HD4,MS/MS count HE1,MS/MS count HE2,MS/MS count HE3,MS/MS count HE4,MS/MS count,Only identified by site,Reverse,Potential contaminant,id,Peptide IDs,Peptide is razor,Mod. peptide IDs,Evidence IDs,MS/MS IDs,Best MS/MS,Oxidation (M) site IDs,Oxidation (M) site positions,Taxonomy IDs
CON__P41361;P01008,CON__P41361,6;2,6;2,6;2,,,,2,6,6,6,3,3,5,5,6,3,5,4,3,3,5,5,6,3,5,4,3,3,5,5,6,3,5,4,12.9,12.9,12.9,52.347,465,465;464,1,34,0,12.267,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,4.7,8.2,10.5,10.5,12.9,8,10.5,6.9,31489000,1372600,465660,8939100,1293100,13493000,549840,3236300,2139900,1665400,592490,1968900,1243700,1305100,306940,706780,541690,3,1,4,3,3,1,2,1,18,,,+,51,618;2876;7037;9584;10128;10921,True;True;True;True;True;True,648;2981;7293;9983;10543;11364,3303;3304;3305;3306;3307;3308;15206;15207;15208;15209;15210;15211;38548;38549;38550;38551;38552;38553;38554;53011;53012;53013;53014;53015;53016;53017;53018;55857;55858;55859;55860;55861;55862;60799,2313;10553;27088;27089;27090;27091;27092;27093;27094;37026;37027;37028;37029;37030;37031;39066;39067;42845,2313;10553;27094;37028;39066;42845,,,-1;9606
P78386;CON__P78386,P78386;CON__P78386,25;25,25;25,8;8,"Keratin, type II cuticular Hb5",KRT85,"sp|P78386|KRT85_HUMAN Keratin, type II cuticular Hb5 OS=Homo sapiens OX=9606 GN=KRT85 PE=1 SV=1;",2,25,25,8,25,5,2,1,1,1,1,1,25,5,2,1,1,1,1,1,8,1,0,0,0,0,0,0,32.1,32.1,14.6,55.802,507,507;507,1,62,0,259.75,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,32.1,9.9,3,1.4,1.4,1.4,1.4,1.4,2939600000,2935300000,1670300,391270,189070,530120,248780,449790,796020,2067000000,1444900,0,0,0,0,0,0,45,3,0,1,1,1,1,1,53,,,+,52,140;831;832;1609;2396;2716;2717;3440;5819;5979;6119;6120;6410;6411;7393;7574;7575;9285;9435;10118;10649;11601;11602;12107;12206,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,143;864;865;1671;2483;2484;2816;2817;3559;6033;6199;6342;6343;6643;6644;7655;7842;7843;9669;9824;10533;11085;12075;12076;12599;12699,734;735;4334;4335;4336;8470;12583;12584;12585;12586;14331;14332;14333;14334;14335;14336;14337;14338;14339;14340;14341;14342;18206;31930;31931;32862;32863;33594;33595;33596;35209;35210;35211;35212;35213;35214;35215;35216;35217;35218;40409;41351;41352;41353;51378;51379;51380;51381;52127;52128;55812;55813;55814;59319;64758;64759;64760;64761;64762;64763;67515;68053,510;3021;3022;3023;5913;8716;8717;8718;8719;9925;9926;9927;9928;9929;9930;9931;9932;12663;22376;22981;22982;23498;23499;23500;24705;24706;24707;24708;24709;24710;24711;24712;24713;28366;28993;28994;35956;36424;36425;39034;39035;41777;41778;41779;45746;45747;45748;45749;45750;45751;45752;47640;48019,510;3021;3022;5913;8718;9926;9932;12663;22376;22981;23498;23500;24705;24713;28366;28993;28994;35956;36425;39034;41777;45746;45752;47640;48019,4,410,9606;-1
CON__P81644,CON__P81644,1,1,1,,,,1,1,1,1,1,0,0,1,1,1,0,1,1,0,0,1,1,1,0,1,1,0,0,1,1,1,0,1,10,10,10,11.202,100,100,1,5,0,6.9712,By MS/MS,,,By MS/MS,By MS/MS,By matching,,By MS/MS,10,0,0,10,10,10,0,10,1744400,66919,0,0,34629,1085000,79519,0,478350,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,,,+,53,10873,TRUE,11313,60541;60542;60543;60544;60545,42659;42660,42660,,,-1
CON__Q03247,CON__Q03247,2,2,2,,,,1,2,2,2,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,9.5,9.5,9.5,35.979,316,316,1,2,0,2.9501,,,,,By MS/MS,,,,0,0,0,0,9.5,0,0,0,1001300,0,0,0,0,1001300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,,,+,54,74;9658,True;True,76;10060,390;53414,274;37308,274;37308,27,142,-1
Q04695;CON__Q04695;CON__Q9QWL7,Q04695;CON__Q04695;CON__Q9QWL7,11;11;9,2;2;1,2;2;1,"Keratin, type I cytoskeletal 17",KRT17,"sp|Q04695|K1C17_HUMAN Keratin, type I cytoskeletal 17 OS=Homo sapiens OX=9606 GN=KRT17 PE=1 SV=2;;",3,11,2,2,9,10,3,9,3,9,5,7,1,1,0,0,0,2,0,0,1,1,0,0,0,2,0,0,20.8,5.8,5.8,48.105,432,432;432;433,1,4,0,3.7726,By matching,By MS/MS,By matching,By matching,By matching,By MS/MS,By matching,By matching,15.5,18.1,6.2,15,5.8,18.1,10,10.4,9212800,283520,220940,0,0,0,8708300,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,,,+,55,459;794;4722;5686;5999;6126;6262;7945;9471;9627;11506,True;True;False;False;False;False;False;False;False;False;False,478;827;4898;5896;6221;6349;6491;8283;8284;9866;10028;11977,2469;4175;4176;4177;25621;25622;31244;31245;31246;31247;32991;32992;32993;32994;32995;32996;32997;32998;32999;33000;33001;33002;33610;33611;33612;33613;33614;33615;33616;33617;34434;34435;34436;34437;34438;44011;44012;44013;44014;44015;44016;44017;44018;44019;52402;52403;52404;52405;52406;53254;53255;53256;53257;53258;53259;64268;64269;64270;64271;64272;64273;64274;64275,1762;2934;18007;21927;23078;23079;23080;23514;23515;23516;23517;23518;23519;23520;23521;24106;24107;30936;30937;36610;36611;37198;37199;37200;37201;37202;45384;45385;45386;45387;45388;45389;45390;45391,1762;2934;18007;21927;23080;23514;24106;30937;36611;37201;45386,,,9606;-1;-1
Q14525;CON__Q14525;Q6A162;CON__Q6IFU5,Q14525;CON__Q14525,12;12;3;3,11;11;3;3,2;2;0;0,"Keratin, type I cuticular Ha3-II",KRT33B,"sp|Q14525|KT33B_HUMAN Keratin, type I cuticular Ha3-II OS=Homo sapiens OX=9606 GN=KRT33B PE=1 SV=3;",4,12,11,2,12,2,0,1,1,1,1,1,11,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,24.3,22.5,3,46.213,404,404;404;431;431,1,18,0,323.31,By MS/MS,By MS/MS,,By matching,By matching,By matching,By matching,By matching,24.3,6.9,0,1.7,1.7,1.7,1.7,1.7,886190000,883870000,2317000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,0,0,0,0,0,16,,,+,56,2305;5999;6127;6128;7551;8727;8728;8748;8757;8920;8921;10605,True;False;True;True;True;True;True;True;True;True;True;True,2388;2389;6221;6350;6351;7818;9100;9101;9122;9131;9296;9297;11040,12129;12130;12131;32991;32992;32993;32994;32995;32996;32997;32998;32999;33000;33001;33002;33618;33619;41247;41248;48366;48367;48368;48463;48464;48503;49380;49381;49382;49383;59084,8405;8406;8407;23078;23079;23080;23522;23523;28921;28922;34020;34021;34091;34092;34122;34652;34653;34654;41627,8407;23080;23522;23523;28921;34020;34021;34091;34122;34652;34653;41627,8,60,9606;-1;9606;-1
Q15323;CON__Q15323;CON__Q9UE12,Q15323;CON__Q15323;CON__Q9UE12,10;10;10,1;1;1,0;0;0,"Keratin, type I cuticular Ha1",KRT31,"sp|Q15323|K1H1_HUMAN Keratin, type I cuticular Ha1 OS=Homo sapiens OX=9606 GN=KRT31 PE=1 SV=3;;",3,10,1,0,10,3,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.6,3.6,0,47.237,416,416;416;416,1,3,0,71.244,By MS/MS,By matching,,By matching,By matching,By matching,By matching,By matching,21.6,10.3,0,1.7,1.7,1.7,1.7,1.7,950140000,948710000,1424000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,,,+,57,2305;5999;6127;6128;6990;7551;8757;8920;8921;10605,False;False;False;False;True;False;False;False;False;False,2388;2389;6221;6350;6351;7244;7818;9131;9296;9297;11040,12129;12130;12131;32991;32992;32993;32994;32995;32996;32997;32998;32999;33000;33001;33002;33618;33619;38300;38301;38302;41247;41248;48503;49380;49381;49382;49383;59084,8405;8406;8407;23078;23079;23080;23522;23523;26906;26907;28921;28922;34122;34652;34653;34654;41627,8407;23080;23522;23523;26907;28921;34122;34652;34653;41627,8,60,9606;-1;-1
CON__Q1RMK2,CON__Q1RMK2,1,1,1,,,,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,2.3,2.3,2.3,65.056,597,597,1,2,0,3.0497,,,By MS/MS,,By MS/MS,,,,0,0,2.3,0,2.3,0,0,0,380530,0,0,0,0,380530,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,,,+,58,3130,TRUE,3242,16554;16555,11472;11473,11473,,,-1
CON__Q28107,CON__Q28107,3,3,3,,,,1,3,3,3,1,0,0,0,3,0,1,2,1,0,0,0,3,0,1,2,1,0,0,0,3,0,1,2,1.6,1.6,1.6,248.98,2211,2211,1,8,0,5.0837,By MS/MS,,,,By MS/MS,,By matching,By MS/MS,0.4,0,0,0,1.6,0,0.8,1.2,3978700,21691,0,0,0,991050,0,280470,2685500,0,0,0,0,721110,0,0,2205900,0,0,0,0,4,0,0,1,5,,,+,59,6502;10327;12134,True;True;True,6739;10748;12626,35714;57220;57221;57222;57223;67651;67652;67653,25094;40216;40217;47727;47728,25094;40216;47727,,,-1
Q3SY84;Q86Y46;CON__Q3SY84;CON__Q32MB2;Q7RTS7;Q14CN4;CON__Q14CN4-1;CON__Q6IME9;CON__Q7RTS7,Q3SY84;Q86Y46;CON__Q3SY84;CON__Q32MB2;Q7RTS7;Q14CN4;CON__Q14CN4-1;CON__Q6IME9;CON__Q7RTS7,3;3;3;3;2;2;2;2;2,2;2;2;2;1;1;1;1;1,1;1;1;1;1;1;1;1;1,"Keratin, type II cytoskeletal 71;Keratin, type II cytoskeletal 73;Keratin, type II cytoskeletal 74;Keratin, type II cytoskeletal 72",KRT71;KRT73;KRT74;KRT72,"sp|Q3SY84|K2C71_HUMAN Keratin, type II cytoskeletal 71 OS=Homo sapiens OX=9606 GN=KRT71 PE=1 SV=3;sp|Q86Y46|K2C73_HUMAN Keratin, type II cytoskeletal 73 OS=Homo sapiens OX=9606 GN=KRT73 PE=1 SV=1;;;sp|Q7RTS7|K2C74_HUMAN Keratin, type II cytoskeletal 74 OS=",9,3,2,1,2,3,1,3,0,2,2,2,1,2,0,2,0,1,1,1,1,1,0,1,0,1,0,1,5.9,4.2,2.3,57.291,523,523;540;523;540;529;511;511;520;529,1,8,0,20,By MS/MS,By MS/MS,By matching,By MS/MS,,By MS/MS,By matching,By MS/MS,4,5.9,1.7,5.9,0,4,3.6,4,20045000,1837700,1385800,0,1451100,0,6365400,162470,8842400,0,3258400,0,2666700,0,0,0,0,1,2,0,1,0,1,0,1,6,,,+,60,2448;2718;2839,False;True;True,2538;2818;2943,12858;12859;12860;12861;12862;12863;12864;14343;14344;14345;14346;14347;15004;15005;15006,8904;8905;8906;8907;8908;8909;8910;9933;9934;9935;9936;9937;10414,8907;9934;10414,,,9606;9606;-1;-1;9606;9606;-1;-1;-1
CON__Q3SX09;CON__P02070;P68871;P02042;P69892;P69891;P02100,CON__Q3SX09;CON__P02070,8;4;2;2;1;1;1,8;4;2;2;1;1;1,8;4;2;2;1;1;1,,,;,7,8,8,8,6,6,7,6,8,7,7,7,6,6,7,6,8,7,7,7,6,6,7,6,8,7,7,7,35.8,35.8,35.8,22.06,201,201;145;147;147;147;147;147,1,63,0,224.97,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,29.9,29.9,35.8,35.8,35.8,35.8,35.8,35.8,1181300000,52013000,14669000,101600000,38873000,560000000,93787000,99788000,220570000,42172000,13812000,16796000,31751000,62323000,17793000,24553000,50908000,7,6,8,5,7,6,8,7,54,,,+,61,2605;6520;6785;6897;9036;11171;11493;11984,True;True;True;True;True;True;True;True,2699;6757;7028;7142;9415;11625;11964;12474,13713;13714;13715;13716;13717;13718;13719;35795;35796;35797;35798;35799;35800;35801;35802;35803;35804;35805;35806;37267;37268;37269;37270;37271;37272;37273;37274;37806;37807;37808;37809;37810;37811;37812;37813;50013;50014;50015;50016;50017;50018;50019;50020;50021;50022;50023;50024;50025;62236;64186;64187;64188;64189;64190;64191;64192;64193;66874;66875;66876;66877;66878;66879,9508;9509;9510;9511;9512;9513;9514;25147;25148;25149;25150;25151;25152;25153;25154;26161;26162;26163;26164;26165;26166;26167;26168;26551;26552;26553;26554;26555;26556;26557;35063;35064;35065;35066;35067;35068;35069;35070;35071;35072;35073;35074;43914;45329;45330;45331;45332;45333;45334;45335;47200;47201;47202;47203;47204,9511;25147;26164;26554;35066;43914;45330;47201,,,-1;-1;9606;9606;9606;9606;9606
CON__Q3SX14;P06396,CON__Q3SX14;P06396,3;2,3;2,3;2,Gelsolin,GSN,;sp|P06396|GELS_HUMAN Gelsolin OS=Homo sapiens OX=9606 GN=GSN PE=1 SV=1,2,3,3,3,2,0,2,0,3,0,0,0,2,0,2,0,3,0,0,0,2,0,2,0,3,0,0,0,5.6,5.6,5.6,85.686,781,781;782,1,7,0,26.275,By MS/MS,,By matching,,By MS/MS,,,,4.2,0,3.3,0,5.6,0,0,0,6240600,352560,0,959980,0,4928100,0,0,0,800610,0,474350,0,923800,0,0,0,0,0,0,0,3,0,0,0,3,,,+,62,1380;4236;11891,True;True;True,1435;4389;12378,7333;7334;7335;22665;22666;66334;66335,5090;15852;46820,5090;15852;46820,,,-1;9606
P07951;CON__Q3SX28,P07951;CON__Q3SX28,12;12,2;2,2;2,Tropomyosin beta chain,TPM2,sp|P07951|TPM2_HUMAN Tropomyosin beta chain OS=Homo sapiens OX=9606 GN=TPM2 PE=1 SV=1;,2,12,2,2,7,8,6,5,12,11,12,11,0,0,0,0,2,1,2,1,0,0,0,0,2,1,2,1,27.5,10.9,10.9,32.85,284,284;284,1,6,0,17.452,By matching,By matching,By matching,By matching,By MS/MS,By MS/MS,By MS/MS,By MS/MS,12.3,13.4,12.3,13.4,27.5,26.1,27.5,26.1,31235000,0,0,0,0,14683000,4098300,7264200,5189500,0,0,0,0,3535600,0,3871800,0,0,0,0,0,2,1,2,1,6,,,+,63,589;1574;4892;5653;5655;6129;6130;6131;6220;6221;9151;9152,True;False;False;False;True;False;False;False;False;False;False;False,616;1635;5077;5861;5863;6352;6353;6354;6448;6449;9532;9533,3121;3122;3123;3124;8287;8288;8289;8290;26633;26634;26635;26636;26637;26638;26639;26640;26641;26642;26643;26644;26645;26646;26647;26648;26649;26650;26651;26652;26653;26654;26655;26656;26657;31040;31041;31042;31043;31044;31057;31058;33620;33621;33622;33623;33624;33625;33626;33627;33628;33629;33630;33631;33632;33633;33634;33635;33636;33637;33638;33639;33640;33641;33642;33643;33644;33645;33646;33647;33648;33649;33650;33651;34222;34223;34224;34225;34226;34227;34228;34229;34230;34231;34232;34233;34234;34235;34236;34237;34238;34239;34240;34241;50662;50663;50664;50665;50666;50667;50668;50669;50670;50671;50672;50673;50674;50675;50676;50677,2189;2190;2191;2192;5780;5781;5782;5783;18708;18709;18710;18711;18712;18713;18714;18715;18716;18717;18718;18719;18720;18721;18722;18723;18724;18725;18726;18727;21808;21809;21810;21811;21821;21822;23524;23525;23526;23527;23528;23529;23530;23531;23532;23533;23534;23535;23536;23537;23538;23539;23540;23541;23542;23543;23544;23545;23546;23955;23956;23957;23958;23959;23960;23961;23962;35507;35508;35509;35510;35511;35512;35513;35514;35515;35516;35517;35518;35519;35520;35521,2190;5781;18709;21811;21821;23524;23542;23544;23958;23962;35512;35514,28,127,9606;-1
CON__Q3ZBD7,CON__Q3ZBD7,7,1,1,,,,1,7,1,1,6,5,6,6,7,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20.8,4.8,4.8,62.87,557,557,1,12,0,4.0724,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,18.1,14.4,18.1,18.1,20.8,18.1,18.1,18.1,106410000,5456700,2572100,25423000,4743700,40566000,3724900,10626000,13299000,0,0,0,0,0,0,0,0,1,1,1,1,2,1,1,1,9,,,+,64,921;2414;4709;5462;10497;11264;11477,False;False;False;True;False;False;False,960;2502;4882;4883;5668;10925;11722;11945;11946,4882;4883;4884;4885;4886;4887;4888;4889;4890;4891;4892;4893;4894;12680;25522;25523;25524;25525;25526;25527;25528;25529;25530;25531;25532;25533;25534;25535;25536;25537;25538;25539;25540;25541;25542;25543;29928;29929;29930;29931;29932;29933;29934;29935;29936;29937;29938;29939;58128;58129;58130;58131;58132;58133;58134;58135;62789;62790;62791;62792;62793;62794;62795;62796;64055;64056;64057;64058;64059;64060;64061;64062;64063;64064,3422;3423;3424;3425;3426;3427;3428;3429;3430;3431;3432;3433;3434;8776;17931;17932;17933;17934;17935;17936;17937;17938;17939;17940;17941;17942;17943;17944;17945;17946;17947;17948;17949;21047;21048;21049;21050;21051;21052;21053;21054;21055;40869;40870;40871;40872;40873;40874;40875;40876;44326;44327;44328;44329;44330;44331;44332;45247;45248;45249;45250;45251;45252;45253;45254;45255,3426;8776;17937;21055;40873;44331;45249,29;30;31,263;357;437,-1
CON__Q3ZBS7;P04004,CON__Q3ZBS7,5;1,5;1,5;1,,,,2,5,5,5,4,3,4,3,5,3,2,4,4,3,4,3,5,3,2,4,4,3,4,3,5,3,2,4,11,11,11,54.099,484,484;478,1,28,0,26.217,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,9.5,7,9.5,7,11,7,5.4,9.5,111630000,8813400,2856700,12255000,5440700,48922000,7459900,7985400,17896000,7739500,3584400,3000600,6286400,7168100,2337700,3094000,5832000,4,2,4,3,5,3,2,4,27,,,+,65,1429;2832;3834;8323;9450,True;True;True;True;True,1488;2936;3969;8683;9839,7573;7574;7575;7576;7577;7578;7579;7580;14973;14974;14975;14976;20365;46125;46126;46127;46128;46129;46130;46131;52183;52184;52185;52186;52187;52188;52189;52190,5265;5266;5267;5268;5269;5270;5271;5272;10388;10389;10390;10391;14219;32505;32506;32507;32508;32509;32510;36454;36455;36456;36457;36458;36459;36460;36461,5271;10388;14219;32509;36456,,,-1;9606
CON__Q497I4,CON__Q497I4,10,5,0,,,,1,10,5,0,10,1,0,1,2,1,1,1,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,18,9.9,0,50.529,455,455,1,6,0,34.307,By MS/MS,By matching,,By matching,By matching,By matching,By matching,By matching,18,1.5,0,1.5,4,1.5,1.5,1.5,32061000,31459000,0,0,0,602140,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,,,+,66,5687;5999;6127;6128;6989;7551;7946;8726;8757;12225,True;False;False;False;True;False;True;True;False;True,5897;6221;6350;6351;7243;7818;8285;9099;9131;12718,31248;32991;32992;32993;32994;32995;32996;32997;32998;32999;33000;33001;33002;33618;33619;38299;41247;41248;44020;48364;48365;48503;68134,21928;23078;23079;23080;23522;23523;26905;28921;28922;30938;34019;34122;48095,21928;23080;23522;23523;26905;28921;30938;34019;34122;48095,,,-1
Q5D862;CON__Q5D862,Q5D862;CON__Q5D862,3;3,3;3,3;3,Filaggrin-2,FLG2,sp|Q5D862|FILA2_HUMAN Filaggrin-2 OS=Homo sapiens OX=9606 GN=FLG2 PE=1 SV=1;,2,3,3,3,1,1,0,3,0,1,2,1,1,1,0,3,0,1,2,1,1,1,0,3,0,1,2,1,3.8,3.8,3.8,248.07,2391,2391;2391,1,9,0,5.1946,By MS/MS,By MS/MS,,By MS/MS,,By MS/MS,By matching,By MS/MS,0.8,0.8,0,3.8,0,0.8,2.9,1,625620,31091,34919,0,142740,0,83564,75592,257720,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,3,,,+,67,3912;4099;9744,True;True;True,4049;4246;10150,20763;20764;21835;21836;21837;21838;21839;53874;53875,14503;15255;37638,14503;15255;37638,,,9606;-1
Q5XKE5;CON__Q5XKE5,Q5XKE5;CON__Q5XKE5,8;8,1;1,0;0,"Keratin, type II cytoskeletal 79",KRT79,"sp|Q5XKE5|K2C79_HUMAN Keratin, type II cytoskeletal 79 OS=Homo sapiens OX=9606 GN=KRT79 PE=1 SV=2;",2,8,1,0,6,7,5,6,2,6,4,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.1,1.9,0,57.835,535,535;535,1,1,1,-2,By MS/MS,By matching,By matching,By matching,By matching,By matching,By matching,By matching,10.8,11.2,8.4,11.2,3.6,11.2,7.5,9,1615200,1615200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,+,,+,68,1451;2448;2716;3589;5235;6080;6857;8041,False;False;False;False;True;False;False;False,1510;2538;2816;3714;5435;6303;7100;8383,7688;7689;12858;12859;12860;12861;12862;12863;12864;14331;14332;14333;14334;14335;14336;14337;14338;14339;14340;14341;19013;19014;19015;19016;19017;19018;28595;33377;33378;33379;33380;33381;33382;33383;33384;37615;37616;37617;37618;44569;44570;44571;44572;44573;44574;44575,5361;8904;8905;8906;8907;8908;8909;8910;9925;9926;9927;9928;9929;9930;9931;13231;13232;13233;20133;23347;23348;23349;23350;23351;26426;26427;31325;31326;31327;31328;31329;31330;31331,5361;8907;9926;13233;20133;23347;26426;31329,23,433,9606;-1
CON__Q61726,CON__Q61726,14,3,2,,,,1,14,3,2,14,2,2,1,2,1,1,1,3,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,18.4,4,2.1,52.809,479,479,1,9,0,6.2932,By MS/MS,By matching,By matching,By matching,By MS/MS,By matching,By matching,By matching,18.4,3.5,3.1,1.5,3.3,1.5,1.5,1.5,434010000,433440000,0,0,0,567890,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,,,+,69,140;735;830;1609;2396;2716;2717;5810;6739;7393;9240;9500;10118;12206,False;True;False;False;False;False;False;True;False;False;False;True;False;False,143;768;863;1671;2483;2484;2816;2817;6024;6982;7655;9624;9895;10533;12699,734;735;3912;3913;3914;3915;4332;4333;8470;12583;12584;12585;12586;14331;14332;14333;14334;14335;14336;14337;14338;14339;14340;14341;14342;31881;31882;37058;37059;40409;51147;52570;52571;52572;55812;55813;55814;68053,510;2752;2753;2754;2755;3019;3020;5913;8716;8717;8718;8719;9925;9926;9927;9928;9929;9930;9931;9932;22332;26010;28366;35815;36722;36723;39034;39035;48019,510;2752;3020;5913;8718;9926;9932;22332;26010;28366;35815;36723;39034;48019,4,391,-1
Q9NSB2;CON__Q6ISB0;CON__Q9NSB2,Q9NSB2;CON__Q6ISB0;CON__Q9NSB2,8;8;8,2;2;2,2;2;2,"Keratin, type II cuticular Hb4",KRT84,"sp|Q9NSB2|KRT84_HUMAN Keratin, type II cuticular Hb4 OS=Homo sapiens OX=9606 GN=KRT84 PE=2 SV=2;;",3,8,2,2,8,3,2,2,2,3,2,3,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,9.7,2.8,2.8,64.842,600,600;600;600,1,2,0,2.9479,By MS/MS,By matching,By matching,By matching,By matching,By matching,By matching,By matching,9.7,4.5,2.7,2.7,2.5,4,2.7,4,682450,682450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,,,+,70,2448;2716;2717;6410;6411;6601;6740;12121,False;False;False;False;False;True;False;True,2538;2816;2817;6643;6644;6841;6983;12613,12858;12859;12860;12861;12862;12863;12864;14331;14332;14333;14334;14335;14336;14337;14338;14339;14340;14341;14342;35209;35210;35211;35212;35213;35214;35215;35216;35217;35218;36284;37060;37061;37062;37063;67574,8904;8905;8906;8907;8908;8909;8910;9925;9926;9927;9928;9929;9930;9931;9932;24705;24706;24707;24708;24709;24710;24711;24712;24713;25496;26011;47669,8907;9926;9932;24705;24713;25496;26011;47669,,,9606;-1;-1
